Protocol,Chain,Date,Transaction Hash
BFCToken,bsc,09-Sep-23,0x8ee76291c1b46d267431d2a528fa7f3ea7035629500bba4f87a69b88fcaf6e23
BGLD,bsc,12-Dec-22,0xea108fe94bfc9a71bb3e4dee4a1b0fd47572e6ad6aba8b2155ac44861be628ae
BH,bsc,11-Oct-23,0xc11e4020c0830bcf84bfa197696d7bfad9ff503166337cb92ea3fade04007662
BTC20,ethereum,19-Aug-23,0xcdd93e37ba2991ce02d8ca07bf6563bf5cd5ae801cbbce3dd0babb22e30b2dbe
BXH,bsc,28-Sep-22,0xa13c8c7a0c97093dba3096c88044273c29cebeee109e23622cd412dcca8f50f4
bZx,ethereum,18-Feb-20,0x762881b07feb63c436dee38edd4ff1f7a74c33091e534af56c9f7d49b5ecac15
Carson,bsc,26-Jul-23,0x37d921a6bb0ecdd8f1ec918d795f9c354727a3ff6b0dba98a512fceb9662a3ac
Cellframe,bsc,01-Jun-23,0x943c2a5f89bc0c17f3fe1520ec6215ed8c6b897ce7f22f1b207fea3f79ae09a6
CheeseBank,ethereum,06-Nov-20,0x600a869aa3a259158310a233b815ff67ca41eab8961a49918c2031297a02f1cc
ConicFinance,ethereum,21-Jul-23,0x8b74995d1d61d3d7547575649136b8765acb22882960f0636941c44ec7bbe146
CreamFinance,ethereum,27-Oct-21,0x0fe2542079644e107cbf13690eb9c2c65963ccb79089ff96bfaf8dced2331c92
CS,bsc,23-May-23,0x906394b2ee093720955a7d55bff1666f6cf6239e46bea8af99d6352b9687baa4
Cupid,bsc,31-Aug-22,0xed348e1d6ef1c26e0040c6c3f933ea51f953bdbafad7fb11c593f6837909c079
DFS,bsc,30-Dec-22,0xcddcb447d64c2ce4b3ac5ebaa6d42e26d3ed0ff3831c08923c53ea998f598a7c
Discover,bsc,06-Jun-22,0x8a33a1f8c7af372a9c81ede9e442114f0aabb537e5c3a22c0fd7231c4820f1e9
DotFinance,bsc,25-Aug-21,0x68170a309ab2e944e178ccf9bf6f19e25a3f356031ce53539bb9669fc77172f2
EAC,bsc,29-Aug-23,0x477f9ee698ac8ae800ffa012ab52fd8de39b58996245c5e39a4233c1ae5f1baa
EGDFinance,bsc,07-Aug-22,0x50da0b1b6e34bce59769157df769eb45fa11efc7d0e292900d6b0a86ae66a2b3
ElephantMoney,bsc,12-Apr-22,0xec317deb2f3efdc1dbf7ed5d3902cdf2c33ae512151646383a8cf8cbcd3d4577
Eminence,ethereum,29-Sep-20,0x045b60411af18114f1986957a41296ba2a97ccff75a9b38af818800ea9da0b2a
ERC20TokenBank,ethereum,31-May-23,0x578a195e05f04b19fd8af6358dc6407aa1add87c3167f053beb990d6b4735f26
GDS,bsc,03-Jan-23,0x2bb704e0d158594f7373ec6e53dc9da6c6639f269207da8dab883fc3b5bf6694
GPT,bsc,24-May-23,0xb77cb34cd01204bdad930d8c172af12462eef58dea16199185b77147d6533391
Groker20,ethereum,10-Nov-23,0x3e9bcee951cdad84805e0c82d2a1e982e71f2ec301a1cbd344c832e0acaee813
GymDeFi,bsc,09-Apr-22,0xa5b0246f2f8d238bb56c0ddb500b04bbe0c30db650e06a41e00b6a0fff11a7e5
Hackerdao,bsc,24-May-22,0x04673c95054247588bb8380dbc7d361f08f8f0baa319366f48ad46e51d08422d
Harvest,ethereum,26-Oct-20,0x35f8d2f572fceaac9288e5d462117850ef2694786992a8c3f6d02612277b0877
IndexedFinance,ethereum,14-Oct-21,0x44aad3b853866468161735496a5d9cc961ce5aa872924c5d78673076b1cd95aa
INUKO,bsc,14-Oct-22,0x99113e00bb5d66dc158b1610ea8141d1a351af63a038d19032551e82bc588857
InverseFinance_1,ethereum,16-Jun-22,0x958236266991bc3fe3b77feaacea120f172c0708ad01c7a715b255f218f9313c
InverseFinance_2,ethereum,02-Apr-22,0x600373f67521324c8068cfd025f121a0843d57ec813411661b07edc5ff781842
LaunchZone,bsc,27-Feb-23,0xaee8ef10ac816834cd7026ec34f35bdde568191fe2fa67724fcf2739e48c3cae
LUSD,bsc,07-Jul-23,0x1eeef7b9a12b13f82ba04a7951c163eb566aa048050d6e9318b725d7bcec6bfa
LW_1,bsc,12-May-23,0x96b34dc3a98cd4055a984132d7f3f4cc5a16b2525113b8ef83c55ac0ba2b3713
LW_2,bsc,12-May-23,0xb846f3aeb9b3027fe138b23bbf41901c155bd6d4b24f08d6b83bd37a975e4e4a
Mars,bsc,16-Apr-24,0x2e4c71da3766dae55f8e3ba4df1a53146bb474b39a6bf056a0a64f29468e9546
MBC,bsc,29-Nov-22,0xdc53a6b5bf8e2962cf0e0eada6451f10956f4c0845a3ce134ddb050365f15c86
MerlinLab,bsc,29-Jun-21,0x31fdf621f60684579de00f30b33fa051c19f1fd45d891c817e2a3888a9b75726
MonoXFinance,ethereum,30-Nov-21,0x9f14d093a2349de08f02fc0fb018dadb449351d0cdb7d0738ff69cc6fef5f299
MRGtoken,ethereum,08-Nov-23,0xb3456a338d7b3e7936a4d08b34e265818c116b7871baef8df1492a35f9f3b1bc
NeverFall,bsc,02-May-23,0xccf513fa8a8ed762487a0dcfa54aa65c74285de1bc517bd68dbafa2813e4b7cb
Nmbplatform,bsc,14-Dec-22,0x42f56d3e86fb47e1edffa59222b33b73e7407d4b5bb05e23b83cb1771790f6c1
NOVO_1,bsc,29-May-22,0xc346adf14e5082e6df5aeae650f3d7f606d7e08247c2b856510766b4dfcdc57f
NOVO_2,bsc,29-May-22,0x23fd14a46b539c81ca4491a577de118925d9339a63fcf4c8a3ff36c14d6cec35
PancakeBunny,bsc,19-May-21,0x897c2de73dd55d7701e1b69ffb3a17b0f4801ced88b0c75fe1551c5fcce6a979
PancakeHunny,bsc,20-Oct-21,0x1b698231965b72f64d55c561634600b087154f71bc73fc775622a45112a94a77
PLPManager,bsc,24-Jul-23,0x62dba55054fa628845fecded658ff5b1ec1c5823f1a5e0118601aa455a30eac9
PLTD,bsc,17-Oct-22,0x8385625e9d8011f4ad5d023d64dc7985f0315b6a4be37424c7212fe4c10dafe0
RoeFinance,ethereum,11-Jan-23,0x927b784148b60d5233e57287671cdf67d38e3e69e5b6d0ecacc7c1aeaa98985b
SanshuInu,ethereum,20-Jul-21,0x00edd68087ee372a1b6e05249cc6c992bb7b8478cc0ddc70c2a1453428285808
SATX,bsc,16-Apr-24,0x7e02ee7242a672fb84458d12198fae4122d7029ba64f3673e7800d811a8de93f
SellToken,bsc,11-Jun-23,0xe968e648b2353cea06fc3da39714fb964b9354a1ee05750a3c5cc118da23444b
SpaceGodzilla,bsc,13-Jul-22,0x7f183df11f1a0225b5eb5bb2296b5dc51c0f3570e8cc15f0754de8e6f8b4cca4
SpartanProtocol,bsc,01-May-21,0xb64ae25b0d836c25d115a9368319902c972a0215bd108ae17b1b9617dfb93af8
Starlink,bsc,16-Feb-23,0x146586f05a4513136deab3557ad15df8f77ffbcdbd0dd0724bc66dbeab98a962
StarWallets_2,bsc,17-Apr-24,0x4241ed7e0adc6a43d68313d91bffa28751825f439c0875f3b6d891759e5bebe1
STM,bsc,06-Jun-24,0x849ed7f687cc2ebd1f7c4bed0849893e829a74f512b7f4a18aea39a3ef4d83b1
SturdyFinance,ethereum,12-Jun-23,0xeb87ebc0a18aca7d2a9ffcabf61aa69c9e8d3c6efade9e2303f8857717fb9eb7
SVT,bsc,26-Aug-23,0xf2a0c957fef493af44f55b201fbc6d82db2e4a045c5c856bfe3d8cb80fa30c12
SwapX,bsc,27-Feb-23,0x3ee23c1585474eaa4f976313cafbc09461abb781d263547c8397788c68a00160
TIFIToken,bsc,10-Dec-22,0x1c5272ce35338c57c6b9ea710a09766a17bbf14b61438940c3072ed49bfec402
UN,bsc,06-Jun-23,0xff5515268d53df41d407036f547b206e288b226989da496fda367bfeb31c5b8b
UPSToken,ethereum,18-Jan-23,0x4b3df6e9c68ae482c71a02832f7f599ff58ff877ec05fed0abd95b31d2d7d912
Upswing,ethereum,17-Jan-23,0xd099a41830b964e93415e9a8607cd92567e40d3eeb491d52f3b66eee6b0357eb
uwerx_network,ethereum,02-Aug-23,0x3b19e152943f31fe0830b67315ddc89be9a066dc89174256e17bc8c2d35b5af8
UwULend,ethereum,10-Jun-24,0xca1bbf3b320662c89232006f1ec6624b56242850f07e0f1dadbe4f69ba0d6ac3
ValueDeFi,ethereum,14-Nov-20,0x46a03488247425f845e444b9c10b52ba3c14927c687d38287c0faddc7471150a
VesperFinance,ethereum,02-Nov-21,0x8527fea51233974a431c92c4d3c58dee118b05a3140a04e0f95147df9faf8092
VINU,ethereum,06-Jun-23,0xaf46a42fe1ed7193b25c523723dc047c7500e50a00ecb7bbb822d665adb3e1f3
WarpFinance,ethereum,17-Dec-20,0x8bb8dc5c7c830bac85fa48acad2505e9300a91c3ff239c9517d0cae33b595090
WGPT,bsc,12-Jul-23,0x258e53526e5a48feb1e4beadbf7ee53e07e816681ea297332533371032446bfd
WienerDoge,bsc,25-Apr-22,0x4f2005e3815c15d1a9abd8588dd1464769a00414a6b7adcbfd75a5331d378e1d
XSTABLE,ethereum,09-Aug-22,0x873f7c77d5489c1990f701e9bb312c103c5ebcdcf0a472db726730814bfd55f3
FFIST,bsc,19-Jul-23,0x33d666fcd9ce5fa58bf983a73792e6c63c7378022b51bbadf6724f3bf9f9e160
Z123,bsc,22-Apr-24,0xc0c4e99a76da80a4cf43d3110364840151226c0a197c1728bb60dc3f1b3a6a27
Zoompro,bsc,05-Sep-22,0xe176bd9cfefd40dc03508e91d856bd1fe72ffc1e9260cd63502db68962b4de1a
ZS,bsc,08-Oct-23,0xbc88aa6057f9da6f88e28bc908baad111ae7545e69fb0c90fbdfd485c9e72192
Zunami,ethereum,13-Aug-23,0x0788ba222970c7c68a738b0e08fb197e669e61f9b226ceec4cab9b85abe8cceb
